Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,91,190,182,181,180,133,-
Market Cap Growth,-,42.57%,-,-,-,-,-
Enterprise Value,-51,48,41,40,39,132,0
PE Ratio,123.40,262.70,-1029.64,-362.68,-,-,-
PB Ratio,-33.84,-33.84,-47.70,-51.26,-52.48,-41.95,-
Debt / Equity Ratio,-0.25,-0.25,-,-,-,-,12.82
Current Ratio,22.80,22.80,28.91,29.03,28.48,452.85,-
Buyback Yield / Dilution,-177.27%,-177.27%,-627.44%,-,-,-,-
Total Shareholder Return,-177.27%,-177.27%,-627.44%,-,-,-,-
