Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Market Capitalization,"1,127","7,005","6,090","6,801","5,680","7,025","8,020","13,378","9,850","4,084","2,814","2,768","2,722","3,940","4,312","6,467","5,620","5,411","8,087","8,943","11,198","5,952",-,-,-,-,-,-
Market Cap Growth,-,-0.28%,-24.07%,-49.17%,-42.33%,72.02%,185.00%,383.28%,261.82%,3.65%,-34.73%,-57.20%,-51.56%,-27.19%,-46.68%,-27.68%,-49.81%,-9.09%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,236,"6,101","5,133","5,600","4,574","5,703","6,897","12,347","8,927","3,155","2,107","2,089","2,090","3,127","3,235","5,627","4,736","4,649","7,338","8,213","10,567","5,304",-527,-,-,-175,-,-53
PE Ratio,3.63,21.54,18.50,18.92,14.82,17.92,22.04,37.59,30.19,13.54,10.14,10.43,9.12,11.62,11.19,16.01,13.78,15.14,141.66,-109.92,-55.89,-19.78,-,-,-,-,-,-
PS Ratio,0.71,4.39,4.16,4.52,3.71,4.75,5.83,10.68,8.55,3.53,2.76,2.92,2.90,4.63,4.99,7.88,7.41,8.23,13.56,14.01,16.80,10.03,-,-,-,-,-,-
PB Ratio,0.64,3.95,3.67,4.01,3.38,4.22,5.19,9.34,7.46,3.19,2.40,2.60,2.65,3.47,4.04,6.43,6.02,6.31,10.59,12.38,16.84,10.87,-,-,-,-,-,-
Debt / Equity Ratio,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.04,0.04,0.02,0.02,0.02,0.00,0.01,0.01,0.01,-,-,-,-,-,-,-0.06
Dividend Yield,5.33%,-,-,4.43%,-,-,-,1.89%,-,-,-,6.60%,-,-,-,4.61%,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,89.30%,0.00%,0.00%,335.00%,0.00%,0.00%,0.00%,251.10%,0.00%,0.00%,0.00%,284.00%,0.00%,0.00%,0.00%,304.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,1.90%,5.03%,1.22%,1.14%,0.09%,-3.29%,-0.96%,2.26%,4.06%,4.98%,7.11%,2.94%,1.33%,3.17%,-0.54%,3.32%,4.00%,-100.42%,-136.27%,-143.82%,-144.20%,-17.26%,-,-,-,-,-,-
Total Shareholder Return,7.19%,5.03%,1.22%,5.57%,0.09%,-3.29%,-0.96%,4.15%,4.06%,4.98%,7.11%,9.53%,1.33%,3.17%,-0.54%,7.93%,4.00%,-100.42%,-136.27%,-143.82%,-144.20%,-17.26%,-,-,-,-,-,-
