Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,266,260,255,252,250,248
Market Cap Growth,-,4.66%,-,-,-,-
Enterprise Value,266,260,255,251,249,247
PE Ratio,25.20,24.42,23.55,34.79,57.86,99.96
PB Ratio,-23.53,-23.53,-21.11,-17.14,-15.08,-13.48
Current Ratio,1.63,1.63,8.38,11.54,2.38,10.43
Buyback Yield / Dilution,-190.77%,-190.77%,-475.00%,-475.00%,-,-
Total Shareholder Return,-190.77%,-190.77%,-475.00%,-475.00%,-,-
