Metrics,Current,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Market Capitalization,163,508,501,503,499,359,-
Market Cap Growth,-,41.46%,-,-,-,-,-
Enterprise Value,162,507,500,503,499,357,0
PE Ratio,61.06,51.15,59.12,60.57,-,-,-
PB Ratio,-22.73,-22.73,-14.46,-14.57,-12.12,71.78,-
Debt / Equity Ratio,-,-,-,-,-,-,-2.45
Current Ratio,5.90,5.90,20.79,4.51,11.08,102.31,0.77
Buyback Yield / Dilution,-138.20%,-138.20%,-591.08%,-,-,-,-
Total Shareholder Return,-138.20%,-138.20%,-591.08%,-,-,-,-
