Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Market Capitalization,107,106,104,102,101,89
Market Cap Growth,-,18.91%,-,-,-,-
Enterprise Value,106,105,103,101,100,88
PE Ratio,-606.31,-606.31,-822.87,-,-,-
PB Ratio,-181.17,-181.17,1707.23,104.41,94.46,70.65
Current Ratio,0.41,0.41,1.09,14.64,15.97,16.43
Buyback Yield / Dilution,-121.14%,-121.14%,-15.08%,-,-,-
Total Shareholder Return,-121.14%,-121.14%,-15.08%,-,-,-
