Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+82 Quarters
Market Capitalization,"111,140","122,755","110,404","101,148","104,389","141,999","126,717","133,091","132,730","113,943","97,357","80,717","76,633","69,176","101,867","98,134","103,082","92,180","81,428","91,694","84,315","80,247","86,201","79,965","75,292","71,300","67,802","59,159","57,785","59,192","68,454","74,225","78,948","79,618","96,266","91,617","100,430","95,663","97,196","81,476","82,134",Upgrade
Market Cap Growth,-,-13.55%,-12.87%,-24.00%,-21.35%,24.62%,30.16%,64.89%,73.20%,64.71%,-4.43%,-17.75%,-25.66%,-24.96%,25.10%,7.02%,22.26%,14.87%,-5.54%,14.67%,11.98%,12.55%,27.14%,35.17%,30.30%,20.45%,-0.95%,-20.30%,-26.81%,-25.65%,-28.89%,-18.98%,-21.39%,-16.77%,-0.96%,12.45%,22.28%,28.37%,51.11%,26.40%,22.60%,Upgrade
Enterprise Value,"112,330","124,781","120,411","113,874","120,591","154,780","145,607","141,911","141,161","117,260","109,222","94,180","85,500","89,166","141,698","135,160","136,776","119,449","115,506","119,055","112,427","103,468","112,356","104,911","100,221","97,181","95,165","80,394","77,010","84,054","98,565","106,100","115,103","113,119","135,413","129,447","140,272","131,839","138,061","114,966","114,641",Upgrade
PE Ratio,15.59,16.98,14.69,13.20,13.72,17.92,15.72,17.11,18.89,22.78,31.06,23.81,18.82,12.41,15.07,13.87,14.78,13.48,11.77,24.75,24.73,25.63,31.37,16.85,16.62,13.71,12.61,10.79,10.31,11.69,13.26,13.00,13.33,13.32,16.36,15.94,17.82,17.36,18.14,17.38,17.97,Upgrade
PS Ratio,2.12,2.35,2.18,2.04,2.18,3.10,2.89,3.23,3.48,3.41,3.11,2.50,2.24,1.82,2.55,2.51,2.69,2.45,2.20,2.52,2.37,2.30,2.53,2.22,2.17,2.10,2.03,1.94,1.87,1.91,2.22,2.36,2.49,2.49,3.00,2.90,3.17,3.06,3.13,2.64,2.71,Upgrade
PB Ratio,4.24,4.72,4.47,4.22,4.49,6.34,5.71,5.45,5.20,4.66,4.24,3.69,3.64,3.29,4.42,4.26,4.46,4.15,3.65,4.27,4.04,4.09,4.72,3.79,3.56,3.41,3.31,2.82,2.79,2.86,3.31,3.48,3.61,3.65,4.66,4.53,4.97,4.79,4.99,4.24,4.32,Upgrade
Debt / Equity Ratio,1.65,1.65,1.78,1.83,1.83,1.81,1.85,1.50,1.54,1.78,1.95,2.13,2.39,2.67,2.79,2.66,2.62,2.72,2.76,2.68,2.77,2.77,3.24,2.42,2.61,2.64,2.56,2.27,2.56,2.41,2.56,2.43,2.61,2.61,2.97,2.92,2.88,2.85,3.10,2.90,2.92,Upgrade
Dividend Yield,1.44%,0.32%,0.35%,-,0.75%,0.23%,0.27%,0.25%,-,0.61%,0.36%,0.43%,0.45%,0.50%,0.35%,0.33%,0.32%,0.36%,0.41%,0.33%,0.36%,0.38%,0.36%,0.35%,0.38%,0.41%,0.44%,-,0.94%,0.47%,0.42%,-,0.37%,0.67%,0.28%,0.30%,0.24%,0.26%,0.26%,0.31%,0.27%,Upgrade
Payout Ratio,21.80%,21.60%,24.90%,0.00%,40.50%,15.80%,19.40%,18.90%,0.00%,31.40%,24.40%,32.80%,148.30%,104.90%,21.20%,18.70%,18.80%,21.50%,16.70%,18.50%,18.90%,18.80%,-25.90%,21.20%,21.60%,23.50%,37.20%,0.00%,27.50%,20.00%,31.90%,0.00%,20.30%,34.90%,18.70%,18.40%,16.00%,17.20%,18.90%,18.30%,15.60%,Upgrade
Buyback Yield / Dilution,1.85%,1.85%,4.81%,4.83%,6.11%,5.84%,1.99%,2.24%,0.37%,0.37%,2.89%,2.66%,3.71%,4.15%,3.38%,3.84%,3.02%,2.09%,3.05%,2.38%,3.47%,4.65%,5.24%,4.55%,5.10%,6.23%,6.78%,7.42%,7.11%,5.87%,4.57%,4.78%,4.25%,4.12%,3.49%,3.15%,3.56%,3.53%,2.51%,4.51%,4.77%,Upgrade
Total Shareholder Return,3.30%,2.16%,5.16%,4.83%,6.86%,6.07%,2.25%,2.49%,0.37%,0.98%,3.25%,3.09%,4.16%,4.65%,3.73%,4.17%,3.33%,2.45%,3.46%,2.71%,3.83%,5.03%,5.60%,4.90%,5.48%,6.64%,7.22%,7.42%,8.05%,6.34%,4.99%,4.78%,4.63%,4.79%,3.77%,3.44%,3.80%,3.78%,2.76%,4.81%,5.04%,Upgrade
