Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,254,249,243,240,243,251,245,-
Market Cap Growth,-,-0.97%,-1.12%,-,-,-,-,-
Enterprise Value,254,248,242,240,242,249,242,0
PE Ratio,-508.70,-508.70,-104.93,-83.62,-87.83,-255.54,-,-
PB Ratio,-35.82,-35.82,-36.36,-36.88,-38.50,-55.91,-66.49,-
Debt / Equity Ratio,-,-,-,-,-,-,-,-1.70
Current Ratio,1.89,1.89,3.28,4.78,8.65,3.49,2.80,0.01
Buyback Yield / Dilution,-130.06%,-130.06%,-325.93%,-400.00%,-,-,-,-
Total Shareholder Return,-130.06%,-130.06%,-325.93%,-400.00%,-,-,-,-
