Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,188,183,180,178,177,178,178
Market Cap Growth,-,3.13%,0.91%,-,-,-,-
Enterprise Value,188,183,179,177,177,177,177
PE Ratio,-218.94,-218.94,-73.25,-90.38,-106.54,-211.23,-
PB Ratio,-36.76,-36.76,-40.77,-52.55,-62.16,-87.55,-137.14
Current Ratio,0.10,0.10,0.16,0.34,0.49,1.07,15.55
Buyback Yield / Dilution,-46.21%,-46.21%,-0.76%,-475.00%,-475.00%,-,-
Total Shareholder Return,-46.21%,-46.21%,-0.76%,-475.00%,-475.00%,-,-
