Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,35,7,16,46,138,135,133,134,126
Market Cap Growth,-,-94.52%,-88.02%,-65.91%,10.10%,-,-,-,-
Enterprise Value,35,7,15,45,138,135,133,133,125
PE Ratio,16.44,1.91,5.64,13.53,30.83,58.48,-,-,-
PB Ratio,-1.89,-1.89,-3.34,-9.51,-33.51,-17.32,-60.44,40.47,43.01
Current Ratio,0.34,0.34,0.70,2.41,5.57,10.82,769.64,-,-
Buyback Yield / Dilution,43.80%,52.83%,66.94%,66.34%,-218.66%,-5.09%,-,-,-
Total Shareholder Return,43.80%,52.83%,66.94%,66.34%,-218.66%,-5.09%,-,-,-
