Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,320,317,311,-,-,-,-
Enterprise Value,318,316,309,0,0,-,0
PE Ratio,87.08,-,215.86,-,-,-,-
PB Ratio,-50.72,-50.72,-51.28,-,-,-,-
Debt / Equity Ratio,-,-,-,-6.73,-14.54,-,13.37
Current Ratio,14.32,14.32,14.69,-,-,-,0
Buyback Yield / Dilution,-360.00%,-300.00%,-101.00%,-,-,-,-
Total Shareholder Return,-360.00%,-300.00%,-101.00%,-,-,-,-
