Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,69,226,221,216,219,216,194,-
Market Cap Growth,-,4.55%,13.97%,-,-,-,-,-
Enterprise Value,70,227,221,215,218,215,192,0
PE Ratio,-746.47,-746.47,-152.69,-175.99,-233.03,-529.90,-,-
PB Ratio,-142.54,-142.54,-266.72,1112.67,299.44,166.01,114.10,-
Debt / Equity Ratio,-0.95,-0.95,-,-,-,-,-,44.21
Current Ratio,0.37,0.37,0.47,1.25,2.31,6.11,27.04,0.28
Buyback Yield / Dilution,-116.47%,-116.47%,-166.56%,-439.81%,-483.00%,-,-,-
Total Shareholder Return,-116.47%,-116.47%,-166.56%,-439.81%,-483.00%,-,-,-
