Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,158,402,416,412,409,-,-
Enterprise Value,158,402,416,411,408,0,0
PE Ratio,519.50,575.78,658.59,-833.67,-1072.45,-,-
PB Ratio,-24.23,-24.23,-29.00,-29.40,-30.13,-,-
Debt / Equity Ratio,-0.02,-0.02,-,-,-,-6.87,40.72
Current Ratio,0.07,0.07,0.60,1.43,2.56,0.05,-
Buyback Yield / Dilution,-14.94%,-3.33%,-14.94%,-373.02%,-,-,-
Total Shareholder Return,-14.94%,-3.33%,-14.94%,-373.02%,-,-,-
