Metrics,Current,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30
Market Capitalization,158,155,152,150,148,131,-
Market Cap Growth,-,19.07%,-,-,-,-,-
Enterprise Value,159,157,152,149,148,130,0
PE Ratio,70.93,78.29,167.82,1259.96,-,-,-
PB Ratio,-31.41,-31.41,-41.85,-41.92,-44.42,-39.99,-
Debt / Equity Ratio,-0.23,-0.23,-,-,-,-,-21.81
Current Ratio,0.21,0.21,19.52,7.78,18.01,24.73,0.96
Buyback Yield / Dilution,-189.59%,-189.59%,-496.74%,-,-,-,-
Total Shareholder Return,-189.59%,-189.59%,-496.74%,-,-,-,-
