Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,701,690,678,676,678,675,674,680,503
Market Cap Growth,-,2.20%,0.62%,-0.71%,34.71%,-,-,-,-
Enterprise Value,700,688,677,675,677,674,672,678,501
PE Ratio,24.26,23.62,23.91,25.72,64.11,-200.96,-86.78,-,-
PB Ratio,-35.66,-35.66,-32.25,-25.76,-20.14,-15.53,-14.09,136.07,100.60
Current Ratio,1.10,1.10,1.50,4.78,7.14,10.77,4.39,0.06,0.07
Buyback Yield / Dilution,-12.19%,0.12%,-,-,-78.76%,-590.82%,-,-,-
Total Shareholder Return,-12.19%,0.12%,-,-,-78.76%,-590.82%,-,-,-
