Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,55,200,197,195,194,193,-
Market Cap Growth,-,4.03%,-,-,-,-,-
Enterprise Value,55,200,197,195,194,192,0
PE Ratio,49.80,32.25,17.63,23.90,24.23,36.08,-
PB Ratio,-23.52,-23.52,-25.65,-19.46,-19.54,-15.27,-
Debt / Equity Ratio,-,-,-,-,-,-,-16.13
Current Ratio,1.01,1.01,3.29,3.63,8.78,20.54,-
Buyback Yield / Dilution,-162.15%,-162.15%,-343.57%,-285.71%,-,-,-
Total Shareholder Return,-162.15%,-162.15%,-343.57%,-285.71%,-,-,-
