Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,82,106,104,99,-,-
Enterprise Value,82,106,104,98,0,0
PE Ratio,-301.91,-301.91,-,-,-,-
PB Ratio,-38.47,-38.47,-52.39,-51.91,-,-
Debt / Equity Ratio,-,-,-,-,13.63,9.99
Current Ratio,1.05,1.05,6.73,7.14,-,1.10
Buyback Yield / Dilution,-345.31%,-345.31%,-,-,-,-
Total Shareholder Return,-345.31%,-345.31%,-,-,-,-
