Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Market Capitalization,305,297,293,288,251
Enterprise Value,64,56,54,50,250
PE Ratio,32.12,32.12,57.61,52.28,-301.77
PB Ratio,-31.47,-31.47,-25.20,-28.63,-15.63
Current Ratio,23.07,23.07,18.72,19.88,3.81
Buyback Yield / Dilution,-381.30%,-476.03%,-360.00%,-475.00%,-
Total Shareholder Return,-381.30%,-476.03%,-360.00%,-475.00%,-
