Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,89,147,144,144,143,141,-,-
Market Cap Growth,-,3.89%,-,-,-,-,-,-
Enterprise Value,-28,30,144,143,142,141,0,0
PE Ratio,-199.59,-199.59,-131.74,-311.47,-367.24,-,-,-
PB Ratio,-26.38,-26.38,-30.12,-40.69,-44.30,-46.06,-,-
Debt / Equity Ratio,-0.02,-0.02,-,-,-,-,-5.50,3.16
Current Ratio,20.33,20.33,0.34,3.36,4.81,7.11,0.86,-
Buyback Yield / Dilution,-139.93%,-139.93%,-479.60%,-479.60%,-,-,-,-
Total Shareholder Return,-139.93%,-139.93%,-479.60%,-479.60%,-,-,-,-
