Metrics,Current,2022-12-31,2022-09-30,2022-05-17
Market Capitalization,29,-,-,-
Enterprise Value,30,0,0,0
PB Ratio,1803.08,-,-,-
Debt / Equity Ratio,18.39,18.39,13.54,12.38
Current Ratio,0.20,0.20,0.54,0.82
