Metrics,Current,2022-12-31,2021-12-31
Market Capitalization,330,-,-
Enterprise Value,623,293,198
PE Ratio,12.40,-,-
PS Ratio,2.57,-,-
PB Ratio,1.21,-,-
Debt / Equity Ratio,1.25,1.25,0.71
Dividend Yield,2.90%,-,-
Total Shareholder Return,2.90%,-,-
