Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,242,237,233,233,231,227,-
Market Cap Growth,-,4.71%,-,-,-,-,-
Enterprise Value,58,54,236,236,49,44,0
PE Ratio,3692.52,3624.99,-928.34,-597.82,-546.00,-2811.85,-
PB Ratio,-57.19,-57.19,-59.92,-60.36,-65.57,-70.39,-
Debt / Equity Ratio,-1.08,-1.08,-1.14,-1.14,-1.22,-1.13,3.94
Current Ratio,0.07,0.07,0.11,0.17,0.17,0.25,0.15
Buyback Yield / Dilution,-365.63%,-365.63%,-431.71%,-431.71%,-431.71%,-14.19%,-
Total Shareholder Return,-365.63%,-365.63%,-431.71%,-431.71%,-431.71%,-14.19%,-
