Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,155,436,427,423,423,421,418,418,374
Market Cap Growth,-,3.69%,2.27%,1.24%,13.38%,-,-,-,-
Enterprise Value,155,436,427,423,423,420,416,417,372
PE Ratio,30.47,29.36,33.10,42.19,24.19,51.45,48.41,-,-
PB Ratio,-23.82,-23.82,-24.94,-22.86,-21.58,-15.06,-15.20,83.66,74.70
Current Ratio,0.01,0.01,0.02,0.03,0.49,0.93,1.03,1.86,2.10
Buyback Yield / Dilution,-14.82%,-0.23%,-,-,-173.62%,-473.67%,-,-,-
Total Shareholder Return,-14.82%,-0.23%,-,-,-173.62%,-473.67%,-,-,-
