Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,361,355,348,342,274,277,-
Market Cap Growth,-,28.21%,-,-,-,-,-
Enterprise Value,361,355,348,341,274,276,0
PE Ratio,131.00,135.21,1164.69,-515.19,-404.62,-697.87,-
PB Ratio,-37.86,-37.86,-37.97,-38.11,-31.76,-33.26,-
Debt / Equity Ratio,-,-,-,-,-,-,7.58
Current Ratio,0.94,0.94,1.25,1.40,2.11,2.63,-
Buyback Yield / Dilution,-329.19%,-265.47%,-370.09%,-417.10%,-,-,-
Total Shareholder Return,-329.19%,-265.47%,-370.09%,-417.10%,-,-,-
