Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,448,447,439,433,429,429,427,-,-
Market Cap Growth,-,4.33%,2.93%,-,-,-,-,-,-
Enterprise Value,449,447,440,434,431,433,431,0,0
PE Ratio,25.34,24.88,18.12,15.49,17.34,24.71,46.56,-,-
PB Ratio,-29.59,-29.59,-31.25,-25.07,-22.28,-16.24,-12.35,-,-
Debt / Equity Ratio,-0.04,-0.04,-0.07,-0.11,-0.13,-0.20,-0.16,8.59,3.06
Current Ratio,0.44,0.44,1.48,1.61,6.65,11.19,5.16,1.07,1.11
Buyback Yield / Dilution,-,-219.52%,-400.00%,-400.00%,-,-,-,-,
Total Shareholder Return,-,-219.52%,-400.00%,-400.00%,-,-,-,-,
