Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,257,333,323,322,320,222
Market Cap Growth,-,50.02%,-,-,-,-
Enterprise Value,257,333,323,321,320,221
PE Ratio,-148.39,-148.39,-176.78,-249.13,-726.47,-1020.10
PB Ratio,-24.78,-24.78,-28.45,-38.38,-42.55,-30.39
Current Ratio,0.07,0.07,0.30,0.81,6.91,11.16
Buyback Yield / Dilution,-102.27%,-85.55%,-358.71%,-358.71%,-,-
Total Shareholder Return,-102.27%,-85.55%,-358.71%,-358.71%,-,-
