Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,81,80,195,193,190,190,189,189,189,156
Market Cap Growth,-,-58.04%,3.18%,1.85%,0.62%,21.59%,-,-,-,-
Enterprise Value,79,78,195,192,190,189,188,188,188,155
PE Ratio,23.70,9.77,18.89,20.06,27.92,81.01,-118.50,-65.72,-,-
PB Ratio,-14.84,-14.84,-39.18,-32.73,-22.06,-18.88,-13.86,-12.66,37.84,31.25
Buyback Yield / Dilution,17.13%,17.13%,-2.43%,-,-,-137.11%,-506.29%,-,-,-
Total Shareholder Return,17.13%,17.13%,-2.43%,-,-,-137.11%,-506.29%,-,-,-
