Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,167,167,163,160,158,158,126
Market Cap Growth,-,5.72%,30.15%,-,-,-,-
Enterprise Value,167,167,163,159,157,157,124
PE Ratio,2032.73,2030.80,5316.12,-198.68,-178.22,-,-556.70
PB Ratio,-28.36,-28.36,-39.75,-44.15,-51.10,-57.90,-55.09
Debt / Equity Ratio,-0.08,-0.08,-,-,-,-,-
Current Ratio,0.22,0.22,0.57,1.16,2.05,2.74,4.79
Buyback Yield / Dilution,-,-234.91%,-475.00%,-,-,-,
Total Shareholder Return,-,-234.91%,-475.00%,-,-,-,
