Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,300,294,290,285,284,250,-
Market Cap Growth,-,17.70%,-,-,-,-,-
Enterprise Value,300,294,289,284,283,248,0
PE Ratio,19.72,19.23,22.95,27.06,45.09,-295.58,-
PB Ratio,-33.64,-33.64,-29.69,-25.88,-18.63,-11.10,-
Debt / Equity Ratio,-,-,-,-,-,-,-1.51
Current Ratio,0.51,0.51,1.06,1.45,1.89,1.51,-
Buyback Yield / Dilution,-298.45%,-298.45%,-475.00%,-475.00%,-,-,-
Total Shareholder Return,-298.45%,-298.45%,-475.00%,-475.00%,-,-,-
