Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,73,132,129,128,128,114
Market Cap Growth,-,15.50%,-,-,-,-
Enterprise Value,72,131,128,127,127,113
PE Ratio,276.69,276.69,-981.15,-250.47,-319.61,-625.98
PB Ratio,-56.11,-56.11,-65.23,-75.22,-83.41,-87.39
Current Ratio,1.40,1.40,2.51,5.11,9.11,3.64
Buyback Yield / Dilution,-304.93%,-334.39%,-463.22%,-463.22%,-,-
Total Shareholder Return,-304.93%,-334.39%,-463.22%,-463.22%,-,-
