Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,164,159,156,156,126,-
Enterprise Value,163,158,156,155,125,0
PE Ratio,210.80,267.22,-,-1155.11,-,-
PB Ratio,-40.75,-40.75,-42.16,-46.50,-37.83,-
Debt / Equity Ratio,-0.03,-0.03,-0.03,-0.04,-0.04,5.36
Current Ratio,0.84,0.84,1.48,3.43,2.23,0
Buyback Yield / Dilution,-421.29%,-418.55%,-,-,-,-
Total Shareholder Return,-421.29%,-418.55%,-,-,-,-
