Metrics,Current,2022-12-31,2022-09-30,2022-06-30
Market Capitalization,150,147,127,-
Enterprise Value,150,146,127,0
PE Ratio,114.22,253.91,-,-
PB Ratio,-41.45,-41.45,-37.15,-
Debt / Equity Ratio,-0.01,-0.01,-0.01,0.71
Current Ratio,1.04,1.04,2.02,0.03
Buyback Yield / Dilution,-155.45%,-155.45%,-,-
Total Shareholder Return,-155.45%,-155.45%,-,-
