Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,364,354,347,343,343,351,346,319,-
Market Cap Growth,-,1.01%,0.20%,7.46%,-,-,-,-,-
Enterprise Value,364,354,347,343,342,350,346,318,0
PE Ratio,1031.00,1290.18,-736.41,-253.08,-239.88,-318.65,-,-,-
PB Ratio,-76.82,-76.82,-38.49,-39.51,-40.76,-43.55,-45.33,63.89,-
Debt / Equity Ratio,-,-,-,-,-,-,-,-,-102.20
Current Ratio,0.40,0.40,2.08,3.03,3.88,6.20,9.81,3.57,-
Buyback Yield / Dilution,-33.79%,-33.79%,-,-102.58%,-542.92%,-,-,-,-
Total Shareholder Return,-33.79%,-33.79%,-,-102.58%,-542.92%,-,-,-,-
