Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,93,90,88,88,87,76,-
Market Cap Growth,-,18.80%,-,-,-,-,-
Enterprise Value,94,90,88,88,87,75,0
PE Ratio,-1169.97,-1169.97,-245.80,-204.19,-,-,-
PB Ratio,-25.08,-25.08,-34.05,-36.99,-37.74,-37.01,-
Debt / Equity Ratio,-0.21,-0.21,-,-,-,-,4.28
Current Ratio,0.15,0.15,0.96,2.46,5.11,8.98,1.20
Buyback Yield / Dilution,-87.51%,-87.51%,-423.62%,-,-,-,-
Total Shareholder Return,-87.51%,-87.51%,-423.62%,-,-,-,-
