Metrics,Current,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-06-30,2021-03-31,2020-06-30
Market Capitalization,235,66,186,869,897,-,-,-
Enterprise Value,276,114,185,796,897,34,-,0
PE Ratio,3.14,-,-0.64,-,-,-,-,-
PS Ratio,-,-,4.53,-,-,-,-,-
PB Ratio,1.26,0.37,0.61,1.89,-,-,-,-
Debt / Equity Ratio,0.41,0.41,0.25,0.19,-,-1.69,-,0.22
Current Ratio,0.53,0.53,1.88,3.74,-,0.24,-,0.93
Buyback Yield / Dilution,4.37%,4.37%,-,-,-,-,-,-
Total Shareholder Return,4.37%,4.37%,-,-,-,-,-,-
