Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,85,257,253,250,249,246,256
Market Cap Growth,-,4.26%,-1.25%,-,-,-,-
Enterprise Value,86,258,252,249,248,246,255
PE Ratio,24.95,25.66,28.44,15.58,21.11,28.54,-
PB Ratio,-23.18,-23.18,-25.93,-24.81,-17.72,-14.35,-14.69
Debt / Equity Ratio,-0.09,-0.09,-,-,-,-,-
Current Ratio,0.15,0.15,1.17,2.12,2.01,2.91,4.98
Buyback Yield / Dilution,-68.02%,-68.02%,-20.05%,-400.00%,-400.00%,-,-
Total Shareholder Return,-68.02%,-68.02%,-20.05%,-400.00%,-400.00%,-,-
