Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,147,501,491,491,489,496,496,501,496
Market Cap Growth,-,1.11%,-1.01%,-2.01%,-1.51%,-,-,-,-
Enterprise Value,146,501,490,490,488,495,494,499,494
PE Ratio,15.04,14.99,14.39,19.46,21.76,-248.73,-98.22,-,-
PB Ratio,-32.30,-32.30,-31.14,-29.82,-23.04,-10.92,-10.23,-12.02,-11.36
Current Ratio,0.40,0.40,0.32,0.66,0.88,0.23,0.44,1.55,3.43
Buyback Yield / Dilution,-17.21%,0.16%,-,-,-147.25%,-400.81%,-,-,-
Total Shareholder Return,-17.21%,0.16%,-,-,-147.25%,-400.81%,-,-,-
