Metrics,Current,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2022-01-07
Market Capitalization,153,148,147,144,144,-,-
Enterprise Value,153,147,147,144,143,0,0
PE Ratio,75.64,80.64,180.17,-,-,-,-
PB Ratio,-37.53,-37.53,-40.13,-42.16,-44.51,-,-
Debt / Equity Ratio,-,-,-,-,-0.03,-18.34,0.15
Current Ratio,1.59,1.59,3.88,5.59,3.86,-,-
Buyback Yield / Dilution,-479.60%,-479.60%,-293.29%,-,-,-,-
Total Shareholder Return,-479.60%,-479.60%,-293.29%,-,-,-,-
