Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Market Capitalization,120,501,494,491,489,485,497,498,500,-
Market Cap Growth,-,3.30%,-0.60%,-1.41%,-2.20%,-,-,-,-,-
Enterprise Value,120,501,493,491,489,485,496,497,499,0
PE Ratio,36.29,36.44,20.54,12.40,33.91,153.85,-55.87,-,-,-
PB Ratio,-29.02,-29.02,-29.95,-27.88,-20.95,-18.04,-12.76,99.60,100.00,-
Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,6.10
Current Ratio,0,0,0.04,0.01,0.08,0.20,1.16,1.82,6.03,0.82
Buyback Yield / Dilution,-6.59%,-0.11%,-,-,-34.53%,-466.06%,-,-,-,-
Total Shareholder Return,-6.59%,-0.11%,-,-,-34.53%,-466.06%,-,-,-,-
