Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,296,295,288,286,287,283,-,-
Market Cap Growth,-,4.06%,-,-,-,-,-,-
Enterprise Value,296,295,288,286,286,283,0,0
PE Ratio,515.50,473.39,-356.65,-215.93,-246.40,-,-,-
PB Ratio,-33.50,-33.50,-35.37,-36.34,-37.76,-39.78,-,-
Debt / Equity Ratio,-0.03,-0.03,-0.04,-0.04,-0.04,-0.04,-1.73,-2.07
Current Ratio,0.34,0.34,0.57,0.86,1.11,1.45,-,-
Buyback Yield / Dilution,-174.64%,-174.64%,-475.00%,-475.00%,-,-,-,-
Total Shareholder Return,-174.64%,-174.64%,-475.00%,-475.00%,-,-,-,-
