Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,260,257,252,249,249,246,-,-
Market Cap Growth,-,4.55%,-,-,-,-,-,-
Enterprise Value,260,256,251,248,248,244,-1,0
PE Ratio,20.43,20.23,19.50,20.16,30.74,56.55,-,-
PB Ratio,-74.04,-74.04,-27.18,-27.95,-19.41,-14.85,-,-
Debt / Equity Ratio,-,-,-,-,-,-,-3.03,-5.86
Current Ratio,9.90,9.90,7.76,8.33,9.72,7.68,0.60,-
Buyback Yield / Dilution,-164.89%,-164.89%,-471.43%,-566.67%,-,-,-,-
Total Shareholder Return,-164.89%,-164.89%,-471.43%,-566.67%,-,-,-,-
