Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,444,433,421,415,416,416,-,-
Market Cap Growth,-,4.05%,-,-,-,-,-,-
Enterprise Value,444,432,420,415,415,415,0,0
PE Ratio,27.84,29.19,30.57,38.93,54.10,206.01,-,-
PB Ratio,-30.44,-30.44,-29.54,-26.44,-22.73,-17.40,-,-
Debt / Equity Ratio,-,-,-,-,-,-,21.84,12.08
Current Ratio,1.86,1.86,2.40,2.04,2.96,4.94,1.01,-
Buyback Yield / Dilution,-148.18%,-148.18%,-475.00%,-475.00%,-590.00%,-,-,-
Total Shareholder Return,-148.18%,-148.18%,-475.00%,-475.00%,-590.00%,-,-,-
