Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,416,727,712,707,702,699,701,697,620
Market Cap Growth,-,4.01%,1.64%,1.54%,13.26%,-,-,-,-
Enterprise Value,417,728,713,708,703,699,700,695,619
PE Ratio,40.25,38.89,25.16,26.01,18.59,26.47,53.94,-,-
PB Ratio,-29.66,-29.66,-30.57,-27.28,-22.98,-20.06,-14.53,139.31,124.00
Debt / Equity Ratio,-0.06,-0.06,-0.04,-0.03,-0.01,-0.01,-,-,-
Current Ratio,0.38,0.38,0.54,0.89,1.57,3.15,2.84,3.84,10.92
Buyback Yield / Dilution,-13.71%,0.13%,-,-,-95.65%,-475.76%,-,-,-
Total Shareholder Return,-13.71%,0.13%,-,-,-95.65%,-475.76%,-,-,-
