Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,95,245,241,212,257,261,-
Market Cap Growth,-,-6.06%,-,-,-,-,-
Enterprise Value,95,245,241,212,257,261,0
PE Ratio,266.50,211.38,464.10,-516.50,-449.20,-749.54,-
PB Ratio,-31.86,-31.86,-30.61,-27.07,-32.72,-34.19,-
Debt / Equity Ratio,-0.04,-0.04,0.00,0.00,-,-0.02,4.65
Current Ratio,0.07,0.07,0.76,1.15,6.58,2.56,-
Buyback Yield / Dilution,-326.66%,-326.66%,-492.20%,-414.96%,-,-,-
Total Shareholder Return,-326.66%,-326.66%,-492.20%,-414.96%,-,-,-
