Metrics,Current,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2021-03-31
Market Capitalization,46,45,90,57,50,-
Enterprise Value,30,30,74,53,46,0
PE Ratio,-5.13,-5.13,-4.70,-3.44,212.56,-
PS Ratio,4.27,4.26,6.27,3.37,5.11,-
PB Ratio,2.24,2.23,3.52,-24.30,-393.57,-
Debt / Equity Ratio,0.02,0.02,0.02,-0.02,-,4.64
Current Ratio,33.68,33.68,44.35,4.93,8.38,0.14
Buyback Yield / Dilution,-1822.46%,-1822.46%,-81.27%,-,-,-
Total Shareholder Return,-1822.46%,-1822.46%,-81.27%,-,-,-
