Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,364,362,354,347,345,344,254,-
Market Cap Growth,-,5.21%,39.63%,-,-,-,-,-
Enterprise Value,367,365,354,346,344,343,251,0
PE Ratio,263.50,1577.38,273.06,746.55,-881.43,-717.88,-1022.55,-
PB Ratio,-52.70,-52.70,-34.54,-43.24,-39.16,-39.00,-29.52,-
Debt / Equity Ratio,-0.40,-0.40,-,-,-,-,-,-1.29
Current Ratio,0.16,0.16,2.53,2.40,5.73,7.31,3.02,-
Buyback Yield / Dilution,-,-202.58%,-400.00%,-400.00%,-590.00%,-,-,
Total Shareholder Return,-,-202.58%,-400.00%,-400.00%,-590.00%,-,-,
