Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,579,576,564,563,554,551,420,-
Market Cap Growth,-,4.37%,34.25%,-,-,-,-,-
Enterprise Value,579,576,564,562,552,549,417,0
PE Ratio,129.25,115.39,409.39,-428.47,-278.60,-356.71,-522.90,-
PB Ratio,-32.98,-32.98,-33.87,-35.15,-36.28,-38.07,-30.59,-
Debt / Equity Ratio,-0.02,-0.02,-,-,-,-,-,10.62
Current Ratio,0.06,0.06,0.70,2.20,7.16,18.65,41.80,-
Buyback Yield / Dilution,-,-231.32%,-270.30%,-270.30%,-270.30%,-,-,
Total Shareholder Return,-,-231.32%,-270.30%,-270.30%,-270.30%,-,-,
