Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-19
Market Capitalization,138,133,131,130,129,91,-,-,-
Market Cap Growth,-,46.83%,-,-,-,-,-,-,-
Enterprise Value,139,134,131,129,129,90,0,-,0
PE Ratio,-2795.57,-2795.57,-335.10,-225.37,-329.23,-685.84,-,-,-
PB Ratio,-30.72,-30.72,-41.89,-44.97,-47.91,-37.31,-,-,-
Debt / Equity Ratio,-0.17,-0.17,-,-,-,-,42.81,-,19.55
Current Ratio,0.14,0.14,1.73,5.01,13.00,23.43,-,-,-
Buyback Yield / Dilution,-494.64%,-494.64%,-360.00%,-,-,-,-,-,-
Total Shareholder Return,-494.64%,-494.64%,-360.00%,-,-,-,-,-,-
