Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,202,196,193,191,193,190,187
Market Cap Growth,-,3.09%,3.00%,-,-,-,-
Enterprise Value,202,196,192,191,192,189,186
PE Ratio,1023.00,956.38,-483.60,-159.96,-225.02,-577.38,-
PB Ratio,-32.58,-32.58,-35.84,-33.90,-36.35,-39.93,-42.56
Current Ratio,0.17,0.17,0.64,0.58,1.17,2.95,9.47
Buyback Yield / Dilution,-80.04%,-80.04%,-33.17%,-427.17%,-427.17%,-,-
Total Shareholder Return,-80.04%,-80.04%,-33.17%,-427.17%,-427.17%,-,-
