Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,47,166,162,162,160,159,130,-
Market Cap Growth,-,4.01%,24.79%,-,-,-,-,-
Enterprise Value,49,168,163,162,160,159,129,0
PE Ratio,9.42,27.91,13.08,13.66,16.22,26.99,-,-
PB Ratio,-19.99,-19.99,-20.09,-27.46,-20.42,-13.48,-6.89,-
Debt / Equity Ratio,-0.27,-0.27,-0.22,-0.06,-0.04,-,-,1.41
Current Ratio,0.19,0.19,0.22,0.73,1.20,2.41,11.99,0.02
Buyback Yield / Dilution,33.17%,33.17%,-117.33%,-480.75%,-538.83%,-,-,-
Total Shareholder Return,33.17%,33.17%,-117.33%,-480.75%,-538.83%,-,-,-
