Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,204,99,97,-,-,-
Enterprise Value,203,98,96,0,0,0
PE Ratio,240.66,240.66,-3154.05,-,-,-
PB Ratio,-42.21,-42.21,-45.16,-,-,-
Debt / Equity Ratio,-,-,-,7.33,7.00,6.77
Current Ratio,2.57,2.57,14.47,-,-,1.15
Buyback Yield / Dilution,-161.25%,-165.04%,-230.56%,-,-,-
Total Shareholder Return,-161.25%,-165.04%,-230.56%,-,-,-
