Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,91,302,296,295,294,293,299,-
Market Cap Growth,-,3.23%,-0.90%,-,-,-,-,-
Enterprise Value,91,302,296,294,293,292,297,0
PE Ratio,25.63,25.40,25.52,40.64,67.21,294.53,-,-
PB Ratio,-25.44,-25.44,-22.01,-19.41,-16.32,-13.69,-12.25,-
Debt / Equity Ratio,-,-,-,-,-,-,-,-3.37
Current Ratio,0.60,0.60,1.35,3.20,3.24,5.15,6.84,0.06
Buyback Yield / Dilution,-77.78%,-77.78%,-144.68%,-400.00%,-400.00%,-,-,-
Total Shareholder Return,-77.78%,-77.78%,-144.68%,-400.00%,-400.00%,-,-,-
