Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,191,186,182,182,181,184,191
Market Cap Growth,-,0.81%,-4.87%,-,-,-,-
Enterprise Value,191,186,182,181,180,184,190
PE Ratio,31.78,31.28,27.40,45.18,73.33,350.16,-
PB Ratio,-28.40,-28.40,-27.04,-23.53,-19.48,-16.43,-14.69
Current Ratio,0.15,0.15,0.28,0.43,0.70,0.92,3.99
Buyback Yield / Dilution,-63.48%,-63.48%,-70.41%,-371.90%,-400.00%,-,-
Total Shareholder Return,-63.48%,-63.48%,-70.41%,-371.90%,-400.00%,-,-
