Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,292,284,280,275,251,-
Enterprise Value,292,284,279,275,250,0
PE Ratio,353.67,450.69,-2542.01,-,-,-
PB Ratio,-29.85,-29.85,-33.47,-37.16,-35.89,-
Debt / Equity Ratio,-,-,-,-0.03,-0.03,19.91
Current Ratio,0.37,0.37,0.81,2.12,2.51,0.29
Buyback Yield / Dilution,-577.36%,-689.07%,-,-,-,-
Total Shareholder Return,-577.36%,-689.07%,-,-,-,-
