Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,132,129,145,144,131,-
Enterprise Value,136,132,149,145,131,0
PE Ratio,-77.42,-77.42,-73.88,-167.25,-6466.42,-
PB Ratio,-20.38,-20.38,-25.96,-183.17,627.48,-
Debt / Equity Ratio,-0.54,-0.54,-0.60,-0.16,0.19,0.18
Current Ratio,0.03,0.03,0.04,0.19,0.97,0.00
Buyback Yield / Dilution,-740.55%,-750.96%,-370.57%,-6495.50%,-,-
Total Shareholder Return,-740.55%,-750.96%,-370.57%,-6495.50%,-,-
