Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,113,382,376,374,372,-
Enterprise Value,113,382,376,374,372,0
PE Ratio,516.25,430.85,-657.92,-305.63,-,-
PB Ratio,-34.18,-34.18,-35.31,-36.72,-37.23,-
Debt / Equity Ratio,-,-,-,-,-,4.32
Current Ratio,0.36,0.36,0.54,1.35,2.73,0
Buyback Yield / Dilution,-1747.02%,-1830.92%,-129210.34%,-,-,-
Total Shareholder Return,-1747.02%,-1830.92%,-129210.34%,-,-,-
