Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,42,188,184,183,183,182,185,-
Market Cap Growth,-,2.98%,-0.10%,-,-,-,-,-
Enterprise Value,42,188,184,183,183,182,184,0
PE Ratio,35.55,27.28,25.44,31.81,49.75,95.75,-,-
PB Ratio,-34.92,-34.92,-26.68,-25.99,-19.99,-16.72,-13.55,-
Debt / Equity Ratio,-0.04,-0.04,-0.01,-,-,-,-,2.83
Current Ratio,0.59,0.59,0.77,1.72,2.58,2.64,5.34,1.07
Buyback Yield / Dilution,-,-,-400.00%,-,-,-,-,
Total Shareholder Return,-,-,-400.00%,-,-,-,-,
