Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,101,108,299,296,294,292,265
Market Cap Growth,-,-63.14%,12.95%,-,-,-,-
Enterprise Value,102,108,299,296,294,292,263
PE Ratio,-27.49,-27.49,-94.15,-128.55,-201.76,-262.79,-
PB Ratio,-8.23,-8.23,-27.12,-29.20,-31.64,-32.76,-32.90
Debt / Equity Ratio,-0.07,-0.07,-0.02,-,-,-,-
Current Ratio,0.06,0.06,0.32,0.37,1.09,1.83,1.82
Buyback Yield / Dilution,20.10%,20.10%,32.57%,25.13%,-25.37%,-,-
Total Shareholder Return,20.10%,20.10%,32.57%,25.13%,-25.37%,-,-
