Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,229,222,217,217,-,-
Enterprise Value,228,221,216,216,0,0
PE Ratio,129.38,180.33,811.76,-2164.28,-,-
PB Ratio,185.28,179.76,152.46,131.82,-,-
Debt / Equity Ratio,-,-,-,-,54.84,30.43
Current Ratio,1.81,1.81,4.21,8.17,0.52,0.84
Buyback Yield / Dilution,-311.73%,-311.73%,-487.00%,-,-,-
Total Shareholder Return,-311.73%,-311.73%,-487.00%,-,-,-
