Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,89,86,84,85,-,-
Enterprise Value,22,19,18,18,0,0
PE Ratio,605.70,605.70,-8435.19,-1096.69,-,-
PB Ratio,-40.22,-40.22,-49.07,-56.76,-,-
Debt / Equity Ratio,-,-,-,-,25.56,14.80
Current Ratio,26.42,26.42,27.47,28.07,1.03,1.07
Buyback Yield / Dilution,-296.42%,-417.58%,-635.77%,-306.54%,-,-
Total Shareholder Return,-296.42%,-417.58%,-635.77%,-306.54%,-,-
