Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,155,151,148,146,145,131,-
Market Cap Growth,-,15.02%,-,-,-,-,-
Enterprise Value,38,34,32,31,30,16,0
PE Ratio,75.50,136.27,823.44,-618.06,-625.62,-2498.03,-
PB Ratio,-33.39,-33.39,-45.55,-52.80,-56.33,-54.72,-
Debt / Equity Ratio,-0.34,-0.34,-0.12,-,-,-,22.81
Current Ratio,25.56,25.56,34.05,38.36,40.03,39.46,1.04
Buyback Yield / Dilution,-313.71%,-313.71%,-411.48%,-411.48%,-,-,-
Total Shareholder Return,-313.71%,-313.71%,-411.48%,-411.48%,-,-,-
