Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,140,626,614,612,614,608,609,612,619
Market Cap Growth,-,2.98%,0.82%,0%,-0.81%,-,-,-,-
Enterprise Value,140,626,615,613,615,609,609,612,616
PE Ratio,25.89,26.13,32.51,44.55,30.20,66.14,59.28,-,-
PB Ratio,-151.54,-151.54,-28.15,-24.28,-21.30,-15.60,-16.06,122.38,123.75
Debt / Equity Ratio,-0.38,-0.38,-0.07,-0.06,-0.05,-0.02,-0.02,0.06,0.04
Current Ratio,0.46,0.46,0.18,0.37,0.52,0.70,1.41,4.71,1.66
Buyback Yield / Dilution,-,-,-,-,-100.00%,-,-,-,
Total Shareholder Return,-,-,-,-,-100.00%,-,-,-,
