Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,544,450,443,435,429,426,313
Market Cap Growth,-,5.61%,41.73%,-,-,-,-
Enterprise Value,544,450,443,435,428,426,312
PE Ratio,21.45,34.90,20.84,18.72,21.98,-,49.02
PB Ratio,-119.51,-119.51,-205.40,-121.86,-74.96,-54.62,-17.05
Current Ratio,0.55,0.55,1.10,1.28,1.50,11.19,9.11
Buyback Yield / Dilution,-317.97%,-,-253.60%,-475.00%,-590.00%,-,-
Total Shareholder Return,-317.97%,-,-253.60%,-475.00%,-590.00%,-,-
