Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,72,68,66,66,-,-,-
Enterprise Value,72,68,66,66,0,-,0
PE Ratio,7.08,-,489.98,-,-,-,-
PB Ratio,70.45,66.39,13.10,4769.40,-,-,-
Debt / Equity Ratio,0.35,0.35,0.03,14.50,22.78,-,9.49
Current Ratio,0.37,0.37,1.16,-,-,-,0.58
Buyback Yield / Dilution,-454.85%,-454.85%,-113.62%,-,-,-,-
Total Shareholder Return,-454.85%,-454.85%,-113.62%,-,-,-,-
