Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,251,245,240,239,237,192,-
Market Cap Growth,-,27.39%,-,-,-,-,-
Enterprise Value,251,245,240,239,237,191,0
PE Ratio,34.65,34.16,34.39,45.82,59.19,639.73,-
PB Ratio,-395.22,-395.22,-642.59,-213.57,-107.87,-32.52,-
Debt / Equity Ratio,-,-,-,-,-,-,5.59
Current Ratio,0.55,0.55,1.76,5.20,10.69,10.32,-
Buyback Yield / Dilution,-24.65%,-22.61%,-25.91%,-25.91%,-,-,-
Total Shareholder Return,-24.65%,-22.61%,-25.91%,-25.91%,-,-,-
